mfg,makes,carlines,type,percent_content_USA_CAN,percent_content_other1,percent_content_other2,final_assembly1,final_assembly2,source_E1,source_E2,source_T1,source_T2,year
Mazda Motor Corp.,Mazda,CX-7,MPV,0%,95% J,"",J,"",J,"",J,"",2011
Mazda Motor Corp.,Mazda,CX-9,MPV,10%,85% J,"",J,"",J,"",J,"",2011
Mazda Motor Corp.,Mazda,MX-5 Miata,PC,0%,95% J,"",J,"",J,"",J,"",2011
Mazda Motor Corp.,Mazda,RX-8,PC,0%,95% J,"",J,"",J,"",J,"",2011
Mazda Motor Corp.,Mazda,Tribute 2.5L auto trans,MPV,50%,25% J,"",US,"",M,"",US,"",2011
Mazda Motor Corp.,Mazda,"Tribute 2.5L, Hybrid (5MT,
CVT)",MPV,50%,25% J,"",US,"",M,"",J,"",2011
Mazda Motor Corp.,Mazda,"Tribute 3.0L (5MT, CVT)",MPV,50%,25% J,"",US,"",US,"",J,"",2011
Mazda Motor Corp.,Mazda,Tribute 3.0L (6AT),MPV,50%,25% J,"",US,"",US,"",US,"",2011
Mercedes Benz,MAYBACH,MAYBACH,PC,0%,81% G,"",G,"",G,"",G,"",2011
Mercedes Benz,Mercedes,B-Class Fuel Cell,PC,0%,73% G,"",G,"",G,"",G,"",2011
Mercedes Benz,Mercedes,C-Class (Bremen),PC,0%,73% G,"",G,"",G,"",G,"",2011
Mercedes Benz,Mercedes,C-Class (South Africa),PC,0%,68% G,"",AF,"",G,"",G,"",2011
Mercedes Benz,Mercedes,CL,PC,0%,81% G,"",G,"",G,"",G,"",2011
Mercedes Benz,Mercedes,CLS,PC,0%,73% G,"",G,"",G,"",G,"",2011
Mercedes Benz,Mercedes,"E-Class, Coupe",PC,0%,73% G,"",G,"",G,"",G,"",2011
Mercedes Benz,Mercedes,G-Class,MPV,0%,50% G,25% A,A,"",G,"",G,"",2011
Mercedes Benz,Mercedes,GL-Class,MPV,62%,21% G,"",US,"",G,"",G,"",2011
Mercedes Benz,Mercedes,"GLK-Class, Coupe",PC,0%,73% G,"",G,"",G,"",G,"",2011
Mercedes Benz,Mercedes,ML-Class,MPV,62%,21% G,"",US,"",G,"",G,"",2011
Mercedes Benz,Mercedes,R-Class Wagon,PC,62%,21% G,"",US,"",G,"",G,"",2011
Mercedes Benz,Mercedes,S & SL Class,PC,0%,81% G,"",G,"",G,"",G,"",2011
Mercedes Benz,Mercedes,SLK-Class,PC,0%,73% G,"",G,"",G,"",G,"",2011
Mercedes Benz,Mercedes,SLS Class,PC,0%,73% G,"",G,"",G,"",G,"",2011
Mitsubishi Motors,Mitsubishi,Eclipse/Eclipse Spyder,PC,58%,28% J,"",US,"",J,"",J,"",2011
Mitsubishi Motors,Mitsubishi,Endeavor,MPV,57%,31% J,"",US,"",J,"",J,"",2011
Mitsubishi Motors,Mitsubishi,Galant,PC,57%,31% J,"",US,"",J,"",J,"",2011
Mitsubishi Motors,Mitsubishi,"Lancer Evolution man
trans",PC,0%,94% J,"",J,"",J,"",J,"",2011
Mitsubishi Motors,Mitsubishi,Lancer Evolution SST,PC,0%,85% J,"",J,"",J,"",G,"",2011
Mitsubishi Motors,Mitsubishi,Lancer Ralliart/Sportback,PC,0%,81% J,"",J,"",J,"",G,"",2011
Mitsubishi Motors,Mitsubishi,Lancer/ Sportback,PC,0%,91% J,"",J,"",J,"",J,"",2011
Mitsubishi Motors,Mitsubishi,Outlander,MPV,1%,98% J,"",J,"",J,"",J,"",2011
Mitsubishi Motors,Mitsubishi,Outlander Sport,MPV,4%,94% J,"",J,"",J,"",J,"",2011
Nissan North America,Infiniti,EX35,MPV,0%,100% J,"",J,"",J,"",J,"",2011
Nissan North America,Infiniti,FX35/50,MPV,0%,100% J,"",J,"",J,"",J,"",2011
Nissan North America,Infiniti,"G37 Sedan, Coupe,
Convertible",PC,0%,100% J,"",J,"",J,"",J,"",2011
Nissan North America,Infiniti,M37/56,PC,0%,100% J,"",J,"",J,"",J,"",2011
Nissan North America,Infiniti,QX56,MPV,0%,100% J,"",J,"",J,"",J,"",2011
Nissan North America,Nissan,"370Z Coupe, Conv",PC,0%,100% J,"",J,"",J,"",J,"",2011
Nissan North America,Nissan,Altima HEV,PC,60%,15% J,"",US,"",J,"",J,"",2011
Nissan North America,Nissan,"Altima, Altima Coupe, 4 cyl",PC,60%,15% J,"",US,"",US,"",US,"",2011
Nissan North America,Nissan,"Altima, Altima Coupe, 6 cyl",PC,60%,15% J,"",US,"",J,"",US,"",2011
Nissan North America,Nissan,Armada,MPV,45%,23% J,"",US,"",US,"",J,"",2011
Nissan North America,Nissan,Cube,PC,0%,100% J,"",J,"",J,"",J,"",2011
Nissan North America,Nissan,Frontier 4 & 6 CYL,Truck,50%,27% J,"",US,"",US,"",J,"",2011
Nissan North America,Nissan,GT-R,PC,0%,100% J,"",J,"",J,"",J,"",2011
Nissan North America,Nissan,Juke,MPV,0%,100% J,"",J,"",J,"",J,"",2011
Nissan North America,Nissan,Leaf,PC,0%,100% J,"",J,"",J,"",J,"",2011
Nissan North America,Nissan,Maxima,PC,55%,22% J,"",US,"",J,"",J,"",2011
Nissan North America,Nissan,Murano,MPV,0%,100% J,"",J,"",J,"",J,"",2011
Nissan North America,Nissan,Pathfinder 6 & 8 CYL,MPV,50%,26% J,"",US,"",US,"",J,"",2011
Nissan North America,Nissan,Quest,MPV,0%,100% J,"",J,"",J,"",J,"",2011
